sepal.length,sepal.width,petal.length,petal.width,class,Slope(sepal.length:sepal.width),Distance(sepal.length:sepal.width),Slope(sepal.width:petal.length),Distance(sepal.width:petal.length),Slope(petal.length:petal.width),Distance(petal.length:petal.width),Slope(petal.width:sepal.length),Distance(petal.width:sepal.length),LC#1
0.44444444444444453,0.5,0.6440677966101694,0.7083333333333334,Versicolor,0.0555,0.0556,0.1431,0.1441,0.0642,0.0643,-0.2580,-0.2639,1.6313075185085941
0.5555555555555555,0.20833333333333331,0.6610169491525424,0.5833333333333334,Versicolor,-0.3342,-0.3472,0.4251,0.4527,-0.0775,-0.0777,-0.0278,-0.0278,1.5969183181727655
0.4722222222222222,0.2916666666666667,0.6949152542372881,0.625,Versicolor,-0.1786,-0.1806,0.3833,0.4032,-0.0698,-0.0699,-0.1516,-0.1528,1.7433350565101315
0.611111111111111,0.5,0.6949152542372881,0.7916666666666666,Virginica,-0.1107,-0.1111,0.1925,0.1949,0.0965,0.0968,-0.1786,-0.1806,1.7297176323586183
0.4722222222222222,0.0833333333333334,0.6779661016949152,0.5833333333333334,Virginica,-0.3709,-0.3889,0.5365,0.5946,-0.0944,-0.0946,-0.1107,-0.1111,1.7486463445468583
0.5555555555555555,0.2916666666666667,0.6610169491525424,0.7083333333333334,Virginica,-0.2580,-0.2639,0.3538,0.3694,0.0473,0.0473,-0.1516,-0.1528,1.719184485903847
0.5277777777777778,0.3333333333333332,0.6440677966101694,0.7083333333333334,Virginica,-0.1920,-0.1944,0.3013,0.3107,0.0642,0.0643,-0.1786,-0.1806,1.6818216685436709
0.4999999999999999,0.41666666666666663,0.6610169491525424,0.7083333333333334,Virginica,-0.0831,-0.0833,0.2397,0.2444,0.0473,0.0473,-0.2054,-0.2083,1.685365610766692
0.8055555555555556,0.41666666666666663,0.8135593220338982,0.625,Virginica,-0.3709,-0.3889,0.3778,0.3969,-0.1864,-0.1886,0.1786,0.1806,1.6545065491481186
1.0,0.7499999999999998,0.9152542372881356,0.7916666666666666,Virginica,-0.2450,-0.2500,0.1638,0.1653,-0.1230,-0.1236,0.2054,0.2083,1.7421927612147234
0.5555555555555555,0.3333333333333332,0.6949152542372881,0.5833333333333334,Virginica,-0.2187,-0.2222,0.3470,0.3616,-0.1111,-0.1116,-0.0278,-0.0278,1.6026523440211928
0.4722222222222222,0.41666666666666663,0.6440677966101694,0.7083333333333334,Virginica,-0.0555,-0.0556,0.2236,0.2274,0.0642,0.0643,-0.2319,-0.2361,1.6688841090385105
